time,x,y,theta
1782920773.6536694,0.356850,-1.322941,0.885388
1782920773.722749,0.356850,-1.322941,0.885388
1782920773.763033,0.356850,-1.322941,0.885388
1782920773.8130674,0.356850,-1.322941,0.885388
1782920773.8630285,0.356850,-1.322941,0.885388
1782920773.9130344,0.356850,-1.322941,0.885388
1782920773.9640055,0.356861,-1.322940,0.885474
1782920774.0041044,0.356861,-1.322940,0.885474
1782920774.0551662,0.356864,-1.322940,0.885498
1782920774.1025205,0.356864,-1.322940,0.885498
1782920774.163068,0.356864,-1.322940,0.885498
1782920774.2140448,0.356868,-1.322940,0.885530
1782920774.2630415,0.356868,-1.322940,0.885530
1782920774.31223,0.356868,-1.322940,0.885530
1782920774.3630333,0.356868,-1.322940,0.885530
1782920774.402235,0.356868,-1.322940,0.885530
1782920774.4534357,0.356871,-1.322940,0.885549
1782920774.5233634,0.356865,-1.322940,0.885504
1782920774.5630283,0.356865,-1.322940,0.885503
1782920774.6140645,0.356868,-1.322940,0.885527
1782920774.6630116,0.356868,-1.322940,0.885527
1782920774.7130075,0.356872,-1.322940,0.885557
1782920774.7641163,0.356864,-1.322940,0.885496
1782920774.8031018,0.356864,-1.322940,0.885496
1782920774.8532355,0.356864,-1.322940,0.885496
1782920774.9024122,0.356864,-1.322940,0.885496
1782920774.9630382,0.356874,-1.322940,0.885570
1782920775.0140421,0.356874,-1.322940,0.885570
1782920775.0630631,0.356874,-1.322940,0.885570
1782920775.113009,0.356874,-1.322940,0.885570
1782920775.1630394,0.356867,-1.322940,0.885520
1782920775.2031307,0.356867,-1.322940,0.885520
1782920775.2533126,0.356860,-1.322940,0.885470
1782920775.3224976,0.356870,-1.322940,0.885541
1782920775.3621817,0.356869,-1.322940,0.885535
1782920775.4132142,0.356870,-1.322940,0.885544
1782920775.462199,0.356873,-1.322940,0.885563
1782920775.5122113,0.356869,-1.322940,0.885535
1782920775.5631592,0.356870,-1.322940,0.885544
1782920775.6031287,0.356867,-1.322940,0.885517
1782920775.653291,0.356864,-1.322940,0.885494
1782920775.7227235,0.356863,-1.322940,0.885486
1782920775.762843,0.356857,-1.322940,0.885442
1782920775.8140626,0.356861,-1.322940,0.885472
1782920775.862217,0.356856,-1.322940,0.885433
1782920775.9131758,0.356860,-1.322940,0.885464
1782920775.9630735,0.356860,-1.322940,0.885463
1782920776.0031269,0.356857,-1.322940,0.885446
1782920776.0533485,0.356868,-1.322940,0.885525
1782920776.1222577,0.356869,-1.322940,0.885533
1782920776.1630483,0.356869,-1.322940,0.885538
1782920776.2136014,0.356871,-1.322940,0.885552
1782920776.2630498,0.356867,-1.322940,0.885518
1782920776.3126044,0.356878,-1.322940,0.885602
1782920776.3630447,0.356874,-1.322940,0.885574
1782920776.403135,0.356871,-1.322940,0.885552
1782920776.4528513,0.356875,-1.322940,0.885577
1782920776.5231552,0.356870,-1.322940,0.885543
1782920776.563691,0.356876,-1.322940,0.885590
1782920776.614589,0.356878,-1.322940,0.885599
1782920776.6630673,0.356877,-1.322940,0.885597
1782920776.7125862,0.356889,-1.322939,0.885685
1782920776.762595,0.356885,-1.322940,0.885652
1782920776.8030465,0.356888,-1.322939,0.885678
1782920776.853712,0.356889,-1.322939,0.885681
1782920776.9224806,0.356883,-1.322940,0.885636
1782920776.9627488,0.356882,-1.322940,0.885635
1782920777.0134964,0.356870,-1.322940,0.885538
1782920777.064608,0.356870,-1.322940,0.885542
1782920777.1113758,0.356875,-1.322940,0.885577
1782920777.1616354,0.356874,-1.322940,0.885571
1782920777.2038813,0.356879,-1.322940,0.885612
1782920777.2533338,0.356879,-1.322940,0.885611
1782920777.3212821,0.356881,-1.322940,0.885624
1782920777.3634968,0.356884,-1.322940,0.885649
1782920777.4142132,0.356882,-1.322940,0.885632
1782920777.4642148,0.356889,-1.322940,0.885684
1782920777.5113902,0.356882,-1.322940,0.885633
1782920777.562156,0.356886,-1.322940,0.885664
1782920777.6033049,0.356888,-1.322940,0.885679
1782920777.655168,0.356883,-1.322940,0.885640
1782920777.704231,0.356884,-1.322940,0.885650
1782920777.7641463,0.356886,-1.322940,0.885663
1782920777.813233,0.356890,-1.322940,0.885693
1782920777.8651283,0.356893,-1.322940,0.885713
1782920777.9114974,0.356890,-1.322940,0.885695
1782920777.9620924,0.356894,-1.322939,0.885719
1782920778.0023584,0.356890,-1.322940,0.885692
1782920778.0535479,0.356888,-1.322940,0.885679
1782920778.1212132,0.356888,-1.322940,0.885677
1782920778.1623368,0.356884,-1.322940,0.885649
1782920778.2130587,0.356886,-1.322940,0.885664
1782920778.2632341,0.356891,-1.322940,0.885700
