time,x,y,theta
1778594581.3143413,-0.334807,1.182526,-3.042609
1778594581.3643177,-0.334567,1.182462,-3.056389
1778594581.4034667,-0.334420,1.182383,-3.066791
1778594581.4539878,-0.334243,1.182317,-3.079998
1778594581.5037115,-0.334030,1.182276,-3.092848
1778594581.5633857,-0.333942,1.182222,-3.108417
1778594581.613394,-0.333830,1.182083,-3.120905
1778594581.6643748,-0.333728,1.182052,-3.134746
1778594581.714343,-0.333582,1.182034,3.132984
1778594581.763641,-0.333462,1.181961,3.117682
1778594581.8043637,-0.333435,1.181809,3.106175
1778594581.853385,-0.333266,1.181547,3.095208
1778594581.9234257,-0.333254,1.181532,3.080371
1778594581.9634047,-0.333088,1.181495,3.069447
1778594582.0134094,-0.332935,1.181391,3.055598
1778594582.0643754,-0.332824,1.181332,3.041697
1778594582.1143482,-0.332672,1.181235,3.027390
1778594582.164323,-0.332515,1.181148,3.014479
1778594582.2043698,-0.332345,1.181177,3.004708
1778594582.2544093,-0.332281,1.181044,2.991735
1778594582.303519,-0.332126,1.181021,2.978820
1778594582.3636258,-0.332023,1.180785,2.963060
1778594582.414399,-0.331959,1.180567,2.948409
1778594582.4633915,-0.331813,1.180498,2.935489
1778594582.5143588,-0.331688,1.180399,2.922052
1778594582.5643287,-0.331565,1.180284,2.909261
1778594582.604374,-0.331474,1.180136,2.899616
1778594582.654881,-0.331353,1.179982,2.886381
1778594582.724372,-0.331241,1.179928,2.868629
1778594582.763405,-0.331104,1.179846,2.856859
1778594582.8143997,-0.330947,1.179625,2.843052
1778594582.8633826,-0.330807,1.179550,2.829149
1778594582.913708,-0.330670,1.179368,2.814438
1778594582.9643345,-0.330633,1.179183,2.800868
1778594583.0043757,-0.330804,1.179037,2.791655
1778594583.054652,-0.330915,1.178870,2.779698
1778594583.123305,-0.330724,1.178856,2.760475
1778594583.1634018,-0.330657,1.178710,2.749789
1778594583.2144094,-0.330640,1.178514,2.736487
1778594583.2633855,-0.330639,1.178355,2.723381
1778594583.3143609,-0.330549,1.178158,2.710493
1778594583.3643346,-0.330505,1.178088,2.697905
1778594583.4033828,-0.330394,1.177916,2.687341
1778594583.4545271,-0.330243,1.177663,2.673708
1778594583.5235162,-0.330134,1.177375,2.656283
1778594583.5634112,-0.330114,1.177297,2.646090
1778594583.6133919,-0.330325,1.177127,2.631324
1778594583.6633914,-0.330428,1.176813,2.618190
1778594583.714364,-0.330599,1.176654,2.605465
1778594583.7643495,-0.330535,1.176453,2.592414
1778594583.8033824,-0.330489,1.176304,2.582383
1778594583.8546054,-0.330410,1.176088,2.568170
1778594583.9035127,-0.330443,1.175860,2.555799
1778594583.9634101,-0.330339,1.175692,2.539618
1778594584.013408,-0.330262,1.175568,2.526502
1778594584.0633898,-0.330263,1.175496,2.513569
1778594584.1143668,-0.330226,1.175423,2.500161
1778594584.16437,-0.330276,1.175259,2.486893
1778594584.2033892,-0.330355,1.175102,2.475369
1778594584.2540388,-0.330304,1.174890,2.462382
1778594584.3035712,-0.330216,1.174687,2.449233
1778594584.3634145,-0.330157,1.174479,2.434606
1778594584.4133956,-0.330031,1.174489,2.421591
1778594584.4634,-0.330199,1.174338,2.407384
1778594584.5143719,-0.330182,1.174196,2.394125
1778594584.5643601,-0.330411,1.174009,2.379618
1778594584.6033897,-0.330499,1.173812,2.368974
1778594584.6541717,-0.330444,1.173592,2.355753
1778594584.7233944,-0.330442,1.173308,2.338504
1778594584.7634203,-0.330444,1.173254,2.328613
1778594584.8134167,-0.330589,1.173097,2.315611
1778594584.8634026,-0.330703,1.172879,2.301937
1778594584.9143744,-0.330861,1.172805,2.288687
1778594584.9643493,-0.330772,1.172561,2.275341
1778594585.0034406,-0.330774,1.172451,2.264827
1778594585.0544286,-0.330783,1.172281,2.251144
1778594585.1233993,-0.330645,1.172114,2.233656
1778594585.1634233,-0.330654,1.172120,2.222643
1778594585.213757,-0.330755,1.171954,2.208789
1778594585.265403,-0.330767,1.171705,2.194108
1778594585.312714,-0.330564,1.171571,2.181189
1778594585.362636,-0.330539,1.171345,2.167773
1778594585.4046288,-0.330561,1.171233,2.156389
1778594585.4560573,-0.330648,1.171107,2.144585
1778594585.523319,-0.330916,1.171120,2.126399
1778594585.5646038,-0.331034,1.171016,2.114171
1778594585.6145072,-0.331162,1.170829,2.100264
1778594585.6654572,-0.331233,1.170589,2.086602
1778594585.713044,-0.331407,1.170452,2.074715
1778594585.76245,-0.331545,1.170345,2.061138
1778594585.804409,-0.331748,1.170295,2.051454
1778594585.8731623,-0.332127,1.170291,2.033539
1778594585.9058533,-0.332180,1.170146,2.023413
1778594585.964269,-0.332149,1.169967,2.006283
1778594586.0140011,-0.332137,1.169737,1.992708
